api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-68.7,0.0
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,73.0,0.0,0.9,89.0,20.3,88.99634
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,78.0,0.72,0.25,180.0,111.29,179.99127
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,341.0,1.33,0.3,211.0,142.29,210.99105
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,301.0,0.42,0.4,272.0,203.29,271.98999
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,254.0,1.12,1.3,367.0,298.28,366.97936
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,251.0,0.99,1.8,418.0,349.26,417.96054
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,254.0,0.46,1.9,448.0,379.24,447.94489
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,243.0,1.74,3.3,533.0,464.16,532.85578
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,256.0,3.24,6.3,631.0,561.8,630.50356
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,267.67,1.66,7.74,752.46,682.36,751.05601
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,270.33,4.48,12.33,855.42,783.71,852.41429
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,269.84,6.62,18.73,952.12,876.84,945.53542
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,263.42,6.89,24.92,1048.35,966.14,1034.83724
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,264.8,4.38,28.61,1133.8,1042.42,1111.11978
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,266.06,3.25,31.66,1229.65,1125.31,1194.00622
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,268.19,3.02,34.29,1324.78,1205.11,1273.80726
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,268.23,2.13,36.32,1420.21,1282.98,1351.68239
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,266.58,1.07,36.72,1518.98,1362.36,1431.0606
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,264.37,1.49,37.23,1614.76,1438.88,1507.58223
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,263.56,0.72,36.78,1706.96,1512.51,1581.21184
500292320500,MPJ-26,MILNEPT,MILNE_SCHRADER,264.19,2.83,39.56,1806.04,1590.4,1659.09927
