,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-68.38,0.0
1,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,33.78,-34.6,33.78
2,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,153.03,0.44,0.79,212.0,143.61,211.99435
3,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,142.63,0.35,1.06,302.66,234.26,302.64252
4,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,140.87,0.5,1.5,391.08,322.66,391.04024
5,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,220.52,2.29,1.85,485.47,417.02,485.40067
6,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,235.67,2.33,3.91,579.13,510.56,578.93853
7,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,268.27,3.69,6.02,672.41,603.5,671.88073
8,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,280.0,2.9,8.25,764.0,694.38,762.76052
174,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,279.37,3.24,8.66,764.63,695.0,763.34146
9,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,275.0,2.99,11.0,860.0,789.02,857.40172
175,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,283.6,4.08,12.54,861.43,790.43,858.47285
10,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,265.0,3.61,13.65,954.0,880.86,949.23757
176,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,272.5,5.02,16.33,954.53,881.37,948.63456
11,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,262.81,4.58,17.99,1049.54,972.76,1041.13767
177,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,262.81,3.47,17.99,1049.54,972.76,1039.43078
178,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,259.46,2.84,20.46,1144.89,1062.79,1129.45923
12,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,259.46,2.84,20.46,1144.89,1062.79,1131.16612
13,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,259.64,3.62,23.89,1239.79,1150.65,1219.03384
179,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,259.64,3.62,23.89,1239.79,1150.65,1217.32695
14,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.17,4.99,28.54,1335.58,1236.57,1304.95024
180,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.17,4.99,28.54,1335.58,1236.57,1303.24335
181,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.17,2.88,31.28,1430.82,1319.12,1385.79058
15,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.17,2.88,31.28,1430.82,1319.12,1387.49747
182,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.52,4.24,35.32,1526.22,1398.84,1465.51032
16,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.52,4.24,35.32,1526.22,1398.84,1467.21721
17,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,259.14,5.22,37.7,1575.44,1438.4,1506.77612
183,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,259.14,5.22,37.7,1575.44,1438.4,1505.06923
184,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.86,2.86,40.35,1672.2,1513.56,1580.23405
18,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,257.86,2.86,40.35,1672.2,1513.56,1581.94094
19,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,256.1,3.3,43.27,1767.42,1584.53,1652.90913
185,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,256.1,3.3,43.27,1767.42,1584.53,1651.20224
20,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,253.87,4.42,47.18,1862.81,1651.71,1720.08617
186,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,253.87,4.42,47.18,1862.81,1651.71,1718.37928
187,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,249.47,3.84,48.78,1957.56,1715.15,1781.81943
21,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,249.47,3.84,48.78,1957.56,1715.15,1783.52632
22,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,244.7,4.27,50.63,2053.13,1776.97,1845.35208
188,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,244.7,4.27,50.63,2053.13,1776.97,1843.64519
189,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,237.75,6.52,53.44,2147.6,1835.13,1901.80007
23,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,237.75,6.52,53.44,2147.6,1835.13,1903.50696
24,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,232.98,4.9,56.08,2243.63,1890.55,1958.93337
190,500292382300,MPH-22,MILNEPT,MILNE_SCHRADER,232.98,4.9,56.08,2243.63,1890.55,1957.22648
