,api,sw_name,bu_id,project,azimuth,dog_leg,inclination,meas_depth,subsea_depth,tvd_depth
0,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,0.0,-67.4,0.0
1,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,0.0,0.0,0.0,34.1,-33.3,34.1
2,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,268.73,0.33,0.35,138.76,71.36,138.75935
210,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,268.7,0.38,0.4,138.8,71.4,138.79915
3,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,255.52,0.37,0.18,186.85,119.45,186.84882
211,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,255.5,0.44,0.2,186.9,119.5,186.89847
212,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,234.0,0.74,0.6,243.6,176.2,243.597
4,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,234.02,0.81,0.62,243.61,176.21,243.60732
5,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,195.08,3.4,3.65,337.36,269.88,337.28372
213,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,195.1,3.47,3.7,337.4,269.92,337.32188
6,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,194.19,3.86,7.15,428.07,360.18,427.57712
214,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,194.2,3.86,7.2,428.1,360.21,427.59785
7,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,194.37,3.37,10.31,521.87,452.88,520.27867
215,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,194.4,3.31,10.3,521.9,452.91,520.29486
8,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,209.17,2.93,10.84,615.96,545.39,612.78751
216,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,209.2,2.92,10.8,616.0,545.43,612.82102
217,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,220.1,2.29,10.0,708.5,636.4,703.80956
9,500292376300,MPI-31,MILNEPT,MILNE_SCHRADER,220.1,2.3,10.04,708.53,636.43,703.83333
