well,pad,ipr_source,ipr_r2,latest_gauge_date,saved_cutoff,exclusion,test_age_days,watercut_difference_points,input_flags,rejected_tests,recent_test_count,pump_date,model_installed_nozzle,model_installed_throat,model_form_wc,model_form_gor,model_res_pres,model_jpump_direction,date,wt_uid,observed_bhp,observed_oil,observed_pf,ppf,pwh,wc,fgor,qtot,predicted_bhp,predicted_oil,predicted_pf,sonic,bhp_error,oil_error_bopd,oil_error_pct,pf_error_pct,error
MPI-15,I,default,,2026-09-07,,no dated current pump identity,,,,,0,2025-09-25,,B,0.5,250.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPI-17,I,saved,,,2026-08-07,no credible BHP gauge reading in last 14 days,,,,,10,2026-08-08,12,E,0.0,1583.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPI-22,I,saved,,2026-09-07,2026-08-07,,6.0,20.410235803775272,model and test watercut differ by over 10 percentage points,,9,2026-05-19,14,C,0.218,249.0,1069.0,reverse,2026-09-02,-3618295,416.78,1573.611,4686.727,3389.0,374.207,0.013897641962247258,480.30949199007887,1595.7887,679.6590494888259,990.9280751968198,4767.819240544663,False,262.8790494888259,-582.6829248031803,-37.02839677678793,1.730253128562076,
MPI-24,I,saved,,2026-09-07,2026-08-07,no usable BHP/oil/pressure test in current pump era within 90 days,,,,15: test circulation differs from current model,15,2026-05-20,13,C,0.682,862.0,1077.0,forward,,,,,,,,,,,,,,,,,,,
MPI-26,I,saved,,2026-09-07,2026-08-07,,2.0,-16.529900098796315,model and test watercut differ by over 10 percentage points,6: before current pump or installation day,10,2026-08-06,13,C,0.0,332.0,465.0,reverse,2026-09-06,-3620595,342.13,389.0629,3532.06,3064.575,345.281,0.16529900098796316,207.23846966647295,466.1105,257.2841475261753,745.8861864238005,3749.668063490603,True,-84.84585247382472,356.8232864238005,91.71352149583024,6.1609390409733455,
MPI-27,I,saved,,2026-09-07,2026-08-07,,7.0,-14.612679716305992,model and test watercut differ by over 10 percentage points,2: before current pump or installation day,5,2026-07-27,12,C,0.002,88.0,836.0,reverse,2026-09-01,-3618296,318.68,701.4755,2895.491,3385.585,350.079,0.14812679716305993,185.8910254171386,823.4506,493.4771223002372,588.7152075352273,2971.799635037451,False,174.79712230023722,-112.76029246477276,-16.07472997485625,2.6354298817523825,
MPI-29,I,saved,,2026-09-07,2026-08-07,,7.0,-0.366595797208491,,8: before current pump or installation day,12,2026-07-26,14,B,0.5,150.0,1072.0,reverse,2026-09-01,-3618297,397.68,952.9425,4399.154,3400.488,364.457,0.5036659579720849,311.5955055000695,1919.962,463.0453948346789,856.434714944343,4934.723614931498,True,65.36539483467891,-96.507785055657,-10.127346094403066,12.174377503754075,
MPI-31,I,saved,,2026-09-07,2026-08-07,,7.0,-8.97488943542341,,,9,2026-06-05,14,B,0.432,114.0,677.0,reverse,2026-09-01,-3618298,353.04,1056.296,4251.991,3379.301,364.897,0.5217488943542341,222.6365526329741,2208.664,388.01809140577717,1048.751012500091,4898.547237179317,True,34.97809140577715,-7.544987499908984,-0.7142872357662089,15.20596438655013,
MPI-33,I,saved,,2026-09-07,2026-08-07,,12.0,42.22447419355248,model and test watercut differ by over 10 percentage points,,5,2026-05-03,13,D,0.438,651.0,937.0,reverse,2026-08-27,-3615372,430.2,853.7582,3529.032,3421.771,343.726,0.01575525806447522,349.564783096666,867.4247,504.09587758414335,410.5394021004732,3741.1737165393206,False,73.89587758414336,-443.2187978995268,-51.91385545691119,6.01132878759163,
MPI-36,I,saved,,2026-09-07,2026-08-07,,1.0,3.561516221885308,,8: before current pump or installation day,12,2026-08-05,14,B,0.801,165.0,1048.0,reverse,2026-09-07,-3621220,635.71,655.2805,4815.379,3373.513,373.047,0.765384837781147,147.34331328339542,2793.0015,660.8823724413635,536.3827026835952,4837.593209586295,False,25.17237244136345,-118.89779731640476,-18.144565162003868,0.4613179894312758,
MPJ-09,J,manual,,,,no credible BHP gauge reading in last 14 days,,,,,0,,,,0.5,250.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPJ-26,J,manual,,2026-09-07,,no dated current pump identity,,,,,0,,,,0.5,250.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPJ-27,J,manual,,2026-09-07,,,10.0,78.0,model and test watercut differ by over 10 percentage points,1: before current pump or installation day; 1: no plausible measured test-day wellhead pressure,7,2026-06-26,11,B,0.78,1281.0,645.0,reverse,2026-08-29,-3615848,491.1,170.0276,2760.403,2588.032,343.045,0.0,398.99051683373756,170.0276,510.13027704122084,132.76490801792212,2151.294025111327,True,19.030277041220813,-37.26269198207788,-21.915672503804018,-22.06594380924354,
MPJ-29,J,saved,,2026-09-07,2026-08-11,,6.0,-36.79624912269585,model and test watercut differ by over 10 percentage points; saved coefficients/IPR predate current pump,1: before current pump or installation day,4,2026-08-13,11,B,0.151,71.0,872.0,reverse,2026-09-02,-3618301,416.86,200.4085,2049.212,2406.685,350.678,0.5189624912269585,136.9008799526966,416.6172,788.3444386804341,167.62383965951278,1960.1081928945894,False,371.4844386804341,-32.78466034048722,-16.358917082103417,-4.348198580986773,
MPJ-32,J,manual,,2025-10-08,,no credible BHP gauge reading in last 14 days,,,,,5,2026-02-01,11,C,0.46,1163.0,1700.0,reverse,,,,,,,,,,,,,,,,,,,
MPL-06,L,vogel,-1.915,2026-09-07,,,6.0,-18.142341994277672,model and test watercut differ by over 10 percentage points,2: invalid BHP; 1: no plausible measured test-day wellhead pressure,6,2023-06-24,11,B,0.179,2996.0,2361.0,reverse,2026-09-02,-3621665,1661.53,591.8146,2192.094,2611.064,594.901,0.3604234199427767,3674.375556128558,925.3225,1920.142311714677,542.9532855270193,2231.248332933131,False,258.61231171467693,-48.86131447298078,-8.256186054379322,1.7861612199628008,
MPL-20,L,single_test,,,,no credible BHP gauge reading in last 14 days,,,,,1,2026-07-03,12,B,0.8189868067666983,212.0,1800.0,forward,,,,,,,,,,,,,,,,,,,
MPM-10,M,saved,,2026-09-07,2026-08-10,no usable BHP/oil/pressure test in current pump era within 90 days,,,,3: before current pump or installation day,3,2026-08-31,13,B,0.322,317.0,1011.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-12,M,saved,,2026-09-07,2026-08-10,no usable BHP/oil/pressure test in current pump era within 90 days,,,,2: before current pump or installation day,2,2026-09-03,13,B,0.26,261.0,956.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-14,M,saved,,2026-09-07,2026-08-10,no usable BHP/oil/pressure test in current pump era within 90 days,,,,2: before current pump or installation day,2,2026-09-02,13,B,0.304,258.0,1175.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-16,M,saved,,2026-09-07,2026-08-10,,16.0,2.32971168312882,,,3,2026-05-15,12,B,0.103,230.0,888.0,reverse,2026-08-23,-3611559,519.34,780.6874,3245.166,3383.877,389.412,0.0797028831687118,226.23024273223828,848.2993,614.7303820123092,876.0244461126698,3005.367398613678,True,95.39038201230915,95.33704611266978,12.211936059512407,-7.389409398049973,
MPM-18,M,saved,,2026-09-07,2026-08-10,no usable BHP/oil/pressure test in current pump era within 90 days,,,,,0,2026-05-15,13,B,0.51,257.0,1645.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-20,M,saved,,2026-09-07,2026-08-10,no usable BHP/oil/pressure test in current pump era within 90 days,,,,3: before current pump or installation day,3,2026-09-01,11,B,0.042,350.0,788.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-22,M,saved,,,2026-09-04,no credible BHP gauge reading in last 14 days,,,,,3,2026-09-05,11,C,0.36,400.0,1200.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-24,M,saved,,,2026-08-10,no credible BHP gauge reading in last 14 days,,,,,3,2026-07-10,11,C,0.08,405.0,2160.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-26,M,default,,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,,0,2024-04-19,12,A,0.5,250.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPM-28,M,saved,,2026-09-07,2026-08-10,,6.0,-13.740669160803638,model and test watercut differ by over 10 percentage points,,4,2026-07-02,14,B,0.41,236.0,786.0,reverse,2026-09-02,-3620438,362.23,552.1069,4757.465,2906.747,400.346,0.5474066916080363,276.42853222808844,1219.8742,414.4166722608065,519.074778223136,4599.391815331151,False,52.18667226080646,-33.03212177686396,-5.98292138295391,-3.3226347365424513,
